Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        6     0.00     0.00  Halide::Var::Var(Halide::Var const&)
  0.00      0.00     0.00        6     0.00     0.00  Halide::Argument::~Argument()
  0.00      0.00     0.00        6     0.00     0.00  Halide::Internal::Function::~Function()
  0.00      0.00     0.00        6     0.00     0.00  Halide::Internal::Variable::make(Halide::Type, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00        6     0.00     0.00  Halide::Var::name[abi:cxx11]() const
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<Halide::Var const*, std::vector<Halide::Var, std::allocator<Halide::Var> > >::base() const
  0.00      0.00     0.00        6     0.00     0.00  std::allocator<Halide::Var>::~allocator()
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<Halide::Var, std::allocator<Halide::Var> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        6     0.00     0.00  Halide::Argument* std::__addressof<Halide::Argument>(Halide::Argument&)
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy<Halide::Var>(Halide::Var*)
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy<Halide::Argument>(Halide::Argument*)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<Halide::Argument>::deallocate(Halide::Argument*, unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  std::allocator_traits<std::allocator<Halide::Argument> >::deallocate(std::allocator<Halide::Argument>&, Halide::Argument*, unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  void Halide::Runtime::Buffer<int, 4>::static_assert_can_convert_from<int, 4>()
  0.00      0.00     0.00        4     0.00     0.00  Halide::Pipeline::~Pipeline()
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<Halide::Var>::new_allocator(__gnu_cxx::new_allocator<Halide::Var> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::allocator<Halide::Var>::allocator(std::allocator<Halide::Var> const&)
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Halide::Var*>(Halide::Var*, Halide::Var*)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Halide::Var, std::allocator<Halide::Var> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Halide::Var, std::allocator<Halide::Var> >::_M_deallocate(Halide::Var*, unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Halide::Var, std::allocator<Halide::Var> >::~_Vector_base()
  0.00      0.00     0.00        4     0.00     0.00  void std::_Construct<Halide::Var, Halide::Var const&>(Halide::Var*, Halide::Var const&)
  0.00      0.00     0.00        4     0.00     0.00  Halide::Var const& std::forward<Halide::Var const&>(std::remove_reference<Halide::Var const&>::type&)
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy<Halide::Var*>(Halide::Var*, Halide::Var*)
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy<Halide::Var*, Halide::Var>(Halide::Var*, Halide::Var*, std::allocator<Halide::Var>&)
  0.00      0.00     0.00        4     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00        3     0.00     0.00  Halide::Buffer<int>::~Buffer()
  0.00      0.00     0.00        3     0.00     0.00  Halide::Internal::RefCount::increment()
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<Halide::Var>::deallocate(Halide::Var*, unsigned long)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<Halide::Var>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<Halide::Var>::new_allocator()
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<Halide::Argument>::new_allocator()
  0.00      0.00     0.00        3     0.00     0.00  bool __gnu_cxx::operator!=<Halide::Var const*, std::vector<Halide::Var, std::allocator<Halide::Var> > >(__gnu_cxx::__normal_iterator<Halide::Var const*, std::vector<Halide::Var, std::allocator<Halide::Var> > > const&, __gnu_cxx::__normal_iterator<Halide::Var const*, std::vector<Halide::Var, std::allocator<Halide::Var> > > const&)
  0.00      0.00     0.00        3     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::BufferContents>::operator->() const
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<Halide::Var>::max_size() const
  0.00      0.00     0.00        3     0.00     0.00  std::allocator<Halide::Argument>::allocator()
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<Halide::Var, std::allocator<Halide::Var> >::_M_allocate(unsigned long)
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<Halide::Var, std::allocator<Halide::Var> >::_Vector_impl::_Vector_impl(std::allocator<Halide::Var> const&)
